hl_p_homeless_tot, sa2_main11, sa2_name_2011
38,"216021411","Cobram"
4,"216021412","Moira"
17,"204031075","Yackandandah"
23,"205011076","Drouin"
5,"205011077","Mount Baw Baw Region"
10,"205011078","Trafalgar (Vic.)"
53,"205011079","Warragul"
14,"216021413","Numurkah"
19,"216021414","Yarrawonga"
18,"208021181","Murrumbeena"
46,"208021182","Ormond - Glen Huntly"
5,"208031183","Aspendale Gardens - Waterways"
150,"214011372","Frankston North"
211,"215021397","Mildura"
8,"215021398","Mildura Region"
11,"215021399","Red Cliffs"
9,"215031400","Buloke"
0,"215031401","Gannawarra"
15,"215031402","Kerang"
70,"215031403","Robinvale"
67,"215031404","Swan Hill"
30,"215031405","Swan Hill Region"
31,"216011406","Echuca"
3,"216011407","Kyabram"
65,"212031304","Cranbourne West"
3,"213011331","Delahey"
88,"212031305","Hampton Park - Lynbrook"
95,"206051130","Port Melbourne"
30,"206061135","Armadale"
159,"206061136","Prahran - Windsor"
56,"211041269","Forest Hill"
8,"201011001","Alfredton"
39,"211041270","Mitcham (Vic.)"
49,"201011008","Wendouree - Miners Rest"
10,"201021009","Bacchus Marsh Region"
18,"201021010","Creswick - Clunes"
24,"201021011","Daylesford"
4,"201021012","Gordon (Vic.)"
3,"201031013","Avoca"
4,"201031014","Beaufort"
4,"201031015","Golden Plains - North"
66,"206071141","Collingwood"
23,"202011021","Flora Hill - Spring Gully"
64,"202011022","Kangaroo Flat - Golden Square"
4,"202011023","Maiden Gully"
10,"202011024","Strathfieldsaye"
319,"206071142","Fitzroy"
107,"206071143","Fitzroy North"
17,"202011025","White Hills - Ascot"
3,"202021026","Bendigo Region - South"
217,"206071144","Richmond (Vic.)"
20,"206071145","Yarra - North"
67,"208011172","Hampton"
109,"207011153","Kew"
38,"203021046","Newtown (Vic.)"
53,"203021047","North Geelong - Bell Park"
19,"204011056","Kilmore - Broadford"
22,"204011057","Mansfield (Vic.)"
6,"204011058","Nagambie"
69,"204011059","Seymour"
3,"204011060","Seymour Region"
0,"204011061","Upper Yarra Valley"
11,"204011062","Yea"
27,"204021063","Benalla"
4,"204021064","Benalla Region"
0,"204021065","Rutherglen"
95,"204021066","Wangaratta"
15,"204021067","Wangaratta Region"
0,"205021080","Alps - East"
61,"205021081","Bairnsdale"
8,"205021082","Bruthen - Omeo"
0,"205021083","Lake King"
40,"205021084","Lakes Entrance"
15,"205021085","Orbost"
3,"205021086","Paynesville"
17,"205031087","Foster"
0,"205031088","French Island"
24,"205031089","Korumburra"
27,"205031090","Leongatha"
15,"205031091","Phillip Island"
0,"205031092","Wilsons Promontory"
39,"205031093","Wonthaggi - Inverloch"
30,"205041094","Churchill"
45,"205041095","Moe - Newborough"
53,"205041096","Morwell"
40,"205041097","Traralgon"
9,"205041098","Yallourn North - Glengarry"
0,"205051099","Alps - West"
3,"205051100","Longford - Loch Sport"
14,"205051101","Maffra"
5,"205051102","Rosedale"
87,"205051103","Sale"
11,"205051104","Yarram"
46,"208021174","Bentleigh - McKinnon"
172,"206011105","Brunswick"
0,"208031184","Braeside"
96,"201011002","Ballarat"
7,"206011106","Brunswick East"
0,"208031187","Chelsea Heights"
83,"201011003","Ballarat - North"
50,"212031306","Lynbrook - Lyndhurst"
126,"201011004","Ballarat - South"
0,"201011005","Buninyong"
32,"201011006","Delacombe"
0,"201011007","Smythes Creek"
28,"201031016","Maryborough (Vic.)"
15,"201031017","Maryborough Region"
59,"212041310","Clayton South"
49,"202011018","Bendigo"
151,"213031351","West Footscray - Tottenham"
45,"202011019","California Gully - Eaglehawk"
130,"206031115","Flemington"
70,"202011020","East Bendigo - Kennington"
7,"206041118","Docklands"
16,"202021027","Castlemaine"
28,"202021028","Castlemaine Region"
16,"202021029","Heathcote"
43,"202021030","Kyneton"
8,"202021031","Woodend"
6,"202031032","Bendigo Region - North"
25,"202031033","Loddon"
3,"203011034","Bannockburn"
7,"203011035","Golden Plains - South"
3,"203011036","Winchelsea"
17,"203021037","Belmont"
180,"203021038","Corio - Norlane"
62,"203021039","Geelong"
48,"206041119","East Melbourne"
47,"203021040","Geelong West - Hamlyn Heights"
0,"206041120","Flemington Racecourse"
64,"203021041","Grovedale"
37,"203021042","Highton"
17,"203021043","Lara"
34,"206041125","South Yarra - West"
17,"203021044","Leopold"
56,"203021045","Newcomb - Moolap"
20,"203031048","Clifton Springs"
3,"203031049","Lorne - Anglesea"
20,"203031050","Ocean Grove - Barwon Heads"
3,"203031051","Portarlington"
5,"203031052","Queenscliff"
10,"203031053","Torquay"
11,"204011054","Alexandra"
9,"204011055","Euroa"
0,"204031068","Beechworth"
17,"204031069","Bright - Mount Beauty"
5,"204031070","Chiltern - Indigo Valley"
6,"204031071","Myrtleford"
10,"204031072","Towong"
65,"204031073","West Wodonga"
102,"204031074","Wodonga"
75,"206011107","Brunswick West"
90,"208021175","Bentleigh East"
127,"206011108","Coburg"
15,"206011109","Pascoe Vale South"
31,"206021110","Alphington - Fairfield"
39,"212051323","Mount Waverley - North"
113,"206021111","Northcote"
41,"208021176","Carnegie"
101,"206021112","Thornbury"
74,"206041126","Southbank"
81,"206031113","Ascot Vale"
0,"206041127","West Melbourne"
71,"206031114","Essendon - Aberfeldie"
59,"206031116","Moonee Ponds"
197,"206041117","Carlton"
47,"206041121","Kensington"
154,"206041122","Melbourne"
70,"208021180","Hughesdale"
362,"206041123","North Melbourne"
9,"206041124","Parkville"
33,"206051128","Albert Park"
111,"206051129","Elwood"
0,"206051131","Port Melbourne Industrial"
207,"206051132","South Melbourne"
741,"206051133","St Kilda"
273,"206051134","St Kilda East"
82,"206061137","South Yarra - East"
29,"206061138","Toorak"
99,"206071139","Abbotsford"
22,"206071140","Carlton North - Princes Hill"
22,"207011146","Ashburton (Vic.)"
20,"207011147","Balwyn"
5,"207011148","Balwyn North"
28,"207011149","Camberwell"
19,"207011155","Surrey Hills (West) - Canterbury"
30,"207021156","Bulleen"
49,"207021157","Doncaster"
3,"207011150","Glen Iris - East"
134,"207011151","Hawthorn"
31,"207011152","Hawthorn East"
5,"207011154","Kew East"
76,"207021158","Doncaster East"
22,"207021159","Templestowe"
0,"207021160","Templestowe Lower"
45,"207031161","Blackburn"
49,"207031162","Blackburn South"
29,"213041360","Taylors Hill"
128,"207031163","Box Hill"
33,"207031167","Surrey Hills (East) - Mont Albert"
109,"213051367","Werribee"
11,"213051368","Werribee - South"
36,"213051369","Wyndham Vale"
77,"207031164","Box Hill North"
152,"207031165","Burwood"
58,"207031166","Burwood East"
15,"208011168","Beaumaris"
17,"208011170","Brighton East"
51,"208011169","Brighton (Vic.)"
42,"208011171","Cheltenham - Highett (West)"
19,"208011173","Sandringham - Black Rock"
56,"208021177","Caulfield - North"
35,"208021178","Caulfield - South"
50,"208021179","Elsternwick"
29,"208031185","Carrum - Patterson Lakes"
37,"208031186","Chelsea - Bonbeach"
67,"208031188","Cheltenham - Highett (East)"
24,"208031190","Mentone"
17,"208031189","Edithvale - Aspendale"
38,"209011196","Bundoora - East"
25,"208031191","Moorabbin - Heatherton"
0,"208031192","Moorabbin Airport"
40,"209011197","Greensborough"
53,"209011204","Watsonia"
29,"208031193","Mordialloc - Parkdale"
46,"209021205","Kingsbury"
41,"210031236","Coburg North"
75,"210031237","Fawkner"
73,"208041194","Malvern - Glen Iris"
21,"209031214","Research - North Warrandyte"
147,"208041195","Malvern East"
30,"209011198","Heidelberg - Rosanna"
23,"209041217","Bundoora - West"
96,"209041218","Epping"
189,"209011199","Heidelberg West"
30,"209011200","Ivanhoe"
0,"209011201","Ivanhoe East - Eaglemont"
38,"209011202","Montmorency - Briar Hill"
53,"209011203","Viewbank - Yallambie"
419,"209021206","Preston"
136,"209021207","Reservoir - East"
148,"209021208","Reservoir - West"
16,"209031209","Eltham"
0,"209031210","Hurstbridge"
8,"209031211","Kinglake"
6,"209031212","Panton Hill - St Andrews"
7,"209031213","Plenty - Yarrambat"
32,"209031215","Wattle Glen - Diamond Creek"
5,"210011226","Airport West"
24,"209041216","Bundoora - North"
0,"210011227","Essendon Airport"
101,"209041219","Lalor"
40,"209041220","Mill Park - North"
29,"209041221","Mill Park - South"
30,"209041222","South Morang"
106,"209041223","Thomastown"
14,"209041224","Wallan"
8,"209041225","Whittlesea"
14,"210011228","Keilor"
41,"210011229","Keilor East"
17,"210011230","Niddrie - Essendon West"
0,"210011231","Strathmore"
12,"210021232","Gisborne"
5,"210021233","Macedon"
0,"210021234","Riddells Creek"
3,"210021235","Romsey"
170,"210031238","Glenroy - Hadfield"
165,"210051247","Meadow Heights"
0,"210051248","Melbourne Airport"
89,"210031239","Pascoe Vale"
18,"210041240","Sunbury"
43,"210041241","Sunbury - South"
21,"211011251","Bayswater"
54,"211011252","Boronia - The Basin"
80,"210051242","Broadmeadows"
11,"211011257","Rowville - North"
174,"210051243","Campbellfield - Coolaroo"
153,"210051244","Craigieburn - Mickleham"
32,"210051245","Gladstone Park - Westmeadows"
22,"210051246","Greenvale - Bulla"
8,"211031265","Croydon Hills - Warranwood"
156,"210051249","Roxburgh Park - Somerton"
18,"210051250","Tullamarine"
69,"211011253","Ferntree Gully"
22,"211011254","Knoxfield - Scoresby"
0,"211011255","Lysterfield"
21,"211031268","Ringwood North"
4,"211011256","Rowville - Central"
0,"211011258","Rowville - South"
18,"211011259","Wantirna"
39,"211011260","Wantirna South"
6,"211021261","Donvale - Park Orchards"
24,"211021262","Warrandyte - Wonga Park"
28,"211031263","Bayswater North"
189,"211031264","Croydon"
94,"211031266","Ringwood"
80,"211031267","Ringwood East"
19,"211041272","Vermont"
18,"211041273","Vermont South"
261,"212051320","Clayton"
59,"212051321","Glen Waverley - East"
60,"211041271","Nunawading"
14,"211051274","Belgrave - Selby"
9,"211051275","Chirnside Park"
51,"211051276","Healesville - Yarra Glen"
16,"211051277","Kilsyth"
48,"211051278","Lilydale - Coldstream"
10,"211051279","Monbulk - Silvan"
11,"211051280","Montrose"
71,"211051281","Mooroolbark"
9,"211051282","Mount Dandenong - Olinda"
27,"212011291","Pakenham - North"
19,"211051283","Mount Evelyn"
89,"212011292","Pakenham - South"
30,"211051284","Upwey - Tecoma"
12,"211051285","Wandin - Seville"
32,"211051286","Yarra Valley"
3,"212011287","Beaconsfield - Officer"
4,"212011288","Bunyip - Garfield"
9,"212011289","Emerald - Cockatoo"
10,"212011290","Koo Wee Rup"
68,"212021293","Berwick - North"
44,"212021294","Berwick - South"
54,"212021295","Doveton"
57,"212031302","Cranbourne North"
43,"212021296","Endeavour Hills"
